card_id,study_id,study_type,title,year,doi_or_link,design,n,follow_up_years,effect_measure,effect_value,ci_lower,ci_upper,funding,risk_of_bias_tool,risk_of_bias_overall,source_api,notes,oa_pdf
card_stemless_any_5yr,doi:10.1016/j.jisako.2023.05.001,systematic_review_or_meta_analysis,Anatomic glenohumeral arthroplasty: State of the art,2023,https://doi.org/10.1016/j.jisako.2023.05.001,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,http://www.jisakos.com/article/S2059775423004753/pdf
card_stemless_any_5yr,doi:10.3390/jcm13133813,systematic_review_or_meta_analysis,"Evolution of Stemless Reverse Shoulder Arthroplasty: Current Indications, Outcomes, and Future Prospects",2024,https://doi.org/10.3390/jcm13133813,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://doi.org/10.3390/jcm13133813
card_stemless_any_5yr,doi:10.1016/j.xrrt.2025.01.003,systematic_review_or_meta_analysis,Stemless Reverse Total Shoulder Arthroplasty: A Systematic Review and Meta-analysis,2025,https://doi.org/10.1016/j.xrrt.2025.01.003,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://doi.org/10.1016/j.xrrt.2025.01.003
card_stemless_any_5yr,doi:10.1016/j.jse.2017.12.020,systematic_review_or_meta_analysis,Stress shielding of the humerus in press-fit anatomic shoulder arthroplasty: review and recommendations for evaluation,2018,https://doi.org/10.1016/j.jse.2017.12.020,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1302/2058-5241.6.200067,systematic_review_or_meta_analysis,Results of stemless shoulder arthroplasty: a systematic review and meta-analysis,2021,https://doi.org/10.1302/2058-5241.6.200067,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://doi.org/10.1302/2058-5241.6.200067
card_stemless_any_5yr,doi:10.1016/j.jseint.2020.07.018,systematic_review_or_meta_analysis,The modern reverse shoulder arthroplasty and an updated systematic review for each complication: part II,2020,https://doi.org/10.1016/j.jseint.2020.07.018,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,http://jsesinternational.org/article/S2666638320301262/pdf
card_stemless_any_5yr,doi:10.3390/jcm11102799,systematic_review_or_meta_analysis,Innovations in Shoulder Arthroplasty,2022,https://doi.org/10.3390/jcm11102799,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://www.mdpi.com/2077-0383/11/10/2799/pdf?version=1652706903
card_stemless_any_5yr,doi:10.2106/jbjs.rvw.17.00129,systematic_review_or_meta_analysis,Humeral Stem Loosening Following Reverse Shoulder Arthroplasty,2018,https://doi.org/10.2106/jbjs.rvw.17.00129,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1007/s12178-019-09585-z,systematic_review_or_meta_analysis,Reverse Total Shoulder Arthroplasty: Implant Design Considerations,2019,https://doi.org/10.1007/s12178-019-09585-z,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.5435/jaaos-d-16-00657,systematic_review_or_meta_analysis,Glenohumeral Osteoarthritis in the Young Patient,2018,https://doi.org/10.5435/jaaos-d-16-00657,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1016/j.jses.2019.10.112,systematic_review_or_meta_analysis,Current state of short-stem implants in total shoulder arthroplasty: a systematic review of the literature,2020,https://doi.org/10.1016/j.jses.2019.10.112,systematic_review_or_meta_analysis,,,,,,,"DePuy; Johnson & Johnson Company; Smith & Nephew; Arthrex; American Association of Nurse Anesthetists; Aesculap; B. Braun; Arthrex,Inc; Histogenics; Medipost; NuTech; OrthoSpace; Smith & Nephew; Zimmer; MLB; Saunders; Mosby-Elsevier; SLACK Incorporated; Arthrex,Inc; Arthrex,Inc",,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,http://jsesinternational.org/article/S2468602619301639/pdf
card_stemless_any_5yr,doi:10.1186/s13244-019-0788-5,systematic_review_or_meta_analysis,Imaging of shoulder arthroplasties and their complications: a pictorial review,2019,https://doi.org/10.1186/s13244-019-0788-5,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://insightsimaging.springeropen.com/track/pdf/10.1186/s13244-019-0788-5.pdf
card_stemless_any_5yr,doi:10.2214/ajr.18.19529,systematic_review_or_meta_analysis,Imaging of Shoulder Arthroplasties,2018,https://doi.org/10.2214/ajr.18.19529,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1016/j.jse.2018.03.007,systematic_review_or_meta_analysis,Establishing maximal medical improvement after anatomic total shoulder arthroplasty,2018,https://doi.org/10.1016/j.jse.2018.03.007,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1016/j.jisako.2023.04.002,systematic_review_or_meta_analysis,Outcomes and survivorship of anatomic total shoulder arthroplasty: current concepts,2023,https://doi.org/10.1016/j.jisako.2023.04.002,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,http://www.jisakos.com/article/S2059775423004686/pdf
card_stemless_any_5yr,doi:10.2106/jbjs.rvw.17.00152,systematic_review_or_meta_analysis,Reverse Shoulder Arthroplasty,2018,https://doi.org/10.2106/jbjs.rvw.17.00152,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1080/17434440.2019.1568237,systematic_review_or_meta_analysis,Prostheses for reverse total shoulder arthroplasty,2019,https://doi.org/10.1080/17434440.2019.1568237,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1053/j.semnuclmed.2018.05.004,systematic_review_or_meta_analysis,SPECT/CT in Postoperative Shoulder Pain,2018,https://doi.org/10.1053/j.semnuclmed.2018.05.004,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1016/j.xrrt.2023.02.003,systematic_review_or_meta_analysis,Outcomes of anatomic and reverse total shoulder arthroplasty in patients over the age of 70: a systematic review,2023,https://doi.org/10.1016/j.xrrt.2023.02.003,systematic_review_or_meta_analysis,,,,,,,National Institute on Aging,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://doi.org/10.1016/j.xrrt.2023.02.003
card_stemless_any_5yr,doi:10.1302/2058-5241.4.180046,systematic_review_or_meta_analysis,"Comparison of revision rates and radiographic observations of long and short, uncoated and coated humeral stem designs in total shoulder arthroplasty",2019,https://doi.org/10.1302/2058-5241.4.180046,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://eor.bioscientifica.com/downloadpdf/journals/eor/4/2/2058-5241.4.180046.pdf
card_stemless_any_5yr,doi:10.1016/j.csm.2018.05.009,systematic_review_or_meta_analysis,Future Frontiers in Shoulder Arthroplasty and the Management of Shoulder Osteoarthritis,2018,https://doi.org/10.1016/j.csm.2018.05.009,systematic_review_or_meta_analysis,,,,,,,Shoulder Innovations,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.3390/jcm11072019,systematic_review_or_meta_analysis,Dislocation Arthropathy of the Shoulder,2022,https://doi.org/10.3390/jcm11072019,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://www.mdpi.com/2077-0383/11/7/2019/pdf?version=1649070558
card_stemless_any_5yr,doi:10.52965/001c.37042,systematic_review_or_meta_analysis,Short-term results of a new anatomic stemless shoulder arthroplasty - A prospective multicentre study -,2022,https://doi.org/10.52965/001c.37042,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,https://orthopedicreviews.openmedicalpublishing.org/article/37042.pdf
card_stemless_any_5yr,doi:10.5397/cise.2018.21.2.105,systematic_review_or_meta_analysis,Short Humeral Stems in Shoulder Arthroplasty,2018,https://doi.org/10.5397/cise.2018.21.2.105,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,http://www.cisejournal.org/upload/pdf/CISE021-02-09.pdf
card_stemless_any_5yr,doi:10.1007/s00402-018-3033-7,systematic_review_or_meta_analysis,Shoulder arthroplasty volume standards: the more the better?,2018,https://doi.org/10.1007/s00402-018-3033-7,systematic_review_or_meta_analysis,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,SR/MA candidate (PRISMA/AMSTAR-2 to assess).,
card_stemless_any_5yr,doi:10.1177/17585732251375941,primary_study,Short to mid-term functional outcomes of stemless anatomical total shoulder arthroplasty in patients over 70 years of age.,2025,https://doi.org/10.1177/17585732251375941,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,
card_stemless_any_5yr,doi:10.1016/j.jse.2025.06.019,primary_study,"Long-term clinical, radiological, and patient-oriented outcomes of the TESS and Nano stemless shoulder arthroplasty systems.",2025,https://doi.org/10.1016/j.jse.2025.06.019,primary_study,,,,,,,Sunnybrook Research Institute,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,https://www.jshoulderelbow.org/article/S1058-2746(25)00565-8/pdf
card_stemless_any_5yr,doi:10.5435/JAAOS-D-23-01090,primary_study,Two-Year Functional and Radiographic Outcomes Following Large Lesser Tuberosity Osteotomy in Stemless Anatomic Total Shoulder Arthroplasty: A Case Series.,2025,https://doi.org/10.5435/JAAOS-D-23-01090,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,
card_stemless_any_5yr,doi:10.1007/s00590-025-04405-2,primary_study,Promising short-term results after anatomical total shoulder arthroplasty for glenohumeral osteoarthritis with a novel stemless humeral implant in combination with a pegged all-polyethylene bone ingrowth glenoid component.,2025,https://doi.org/10.1007/s00590-025-04405-2,primary_study,,,,,,,DePuy Synthes; Medizinische Hochschule Hannover (MHH),,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,https://link.springer.com/content/pdf/10.1007/s00590-025-04405-2.pdf
card_stemless_any_5yr,doi:10.2106/JBJS.24.01126,primary_study,High Failure Rates of Polyethylene Glenoid Components in Stemless Anatomic Total Shoulder Arthroplasty for Primary and Secondary OA.,2025,https://doi.org/10.2106/JBJS.24.01126,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,
card_stemless_any_5yr,doi:10.1016/j.jseint.2024.11.025,primary_study,Glenoid morphology classification and computed tomography scanning prior to total shoulder arthroplasty: a population-level analysis from the Australian Orthopaedic Association National Joint Replacement Registry.,2025,https://doi.org/10.1016/j.jseint.2024.11.025,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,https://doi.org/10.1016/j.jseint.2024.11.025
card_stemless_any_5yr,doi:10.3390/jcm14093186,primary_study,Trends in Shoulder Arthroplasty: A Narrative Review of Predominant Indications and the Most Commonly Employed Implant Designs.,2025,https://doi.org/10.3390/jcm14093186,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,https://www.mdpi.com/2077-0383/14/9/3186/pdf?version=1746420062
card_stemless_any_5yr,doi:10.1016/j.xrrt.2025.01.003,primary_study,Stemless reverse total shoulder arthroplasty: a systematic review and meta-analysis.,2025,https://doi.org/10.1016/j.xrrt.2025.01.003,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,https://doi.org/10.1016/j.xrrt.2025.01.003
card_stemless_any_5yr,doi:10.1016/j.jse.2025.02.058,primary_study,Clinical and radiographic outcomes at 5-8 years of the Catalyst CSR stem-free ellipsoid anatomic total shoulder arthroplasty in a series of 206 shoulders.,2025,https://doi.org/10.1016/j.jse.2025.02.058,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,https://doi.org/10.1016/j.jse.2025.02.058
card_stemless_any_5yr,doi:10.1016/j.jse.2025.01.030,primary_study,Comparative and predictive modeling of modern anatomic total shoulder arthroplasty revision rates in osteoarthritis with different polyethylene glenoid designs.,2025,https://doi.org/10.1016/j.jse.2025.01.030,primary_study,,,,,,,"Department of Health and Aged Care, Australian Government",,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,
card_stemless_any_5yr,doi:10.1016/j.jse.2025.01.016,primary_study,Medium-term outcomes following Mathys Affinis Short stemless anatomic total shoulder replacement: clinical and radiologic findings (minimum 5-year follow-up).,2025,https://doi.org/10.1016/j.jse.2025.01.016,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,
card_stemless_any_5yr,doi:10.5435/JAAOS-D-23-01134,primary_study,Convertible Humeral and Glenoid Components for Anatomic Shoulder Arthroplasty.,2025,https://doi.org/10.5435/JAAOS-D-23-01134,primary_study,,,,,,,,,,PubMed/OpenAlex/Crossref/Unpaywall,Candidate RCT/cohort; classify later (RoB 2 / ROBINS-I).,
